Skills,Industry
Facilitation,Business Services
Sleep Disorders,n/a
Key Opinion Leaders,n/a
MICROS,Industrial Specialties
GMP,n/a
Web Analytics,Major Banks
CPI,Building Materials
Cell Biology,Industrial Machinery/Components
RF Scanners,Major Pharmaceuticals
Sheet Metal,Major Banks
Business Overhead Expense,"Computer Software: Programming, Data Processing"
YSlow,Semiconductors
IGP,Building Materials
WordPerfect,Semiconductors
Business Aviation,Restaurants
Go,Medical/Dental Instruments
Heavy Oil,Industrial Machinery/Components
Aviation Security,Containers/Packaging
WSDL,n/a
SQLite,n/a
Yellow Pages,n/a
BPD,Electrical Products
PostgreSQL,Medical/Dental Instruments
Posters,Semiconductors
Planning,Recreational Products/Toys
WDF,Major Banks
VLSI,Industrial Machinery/Components
FTTH,Miscellaneous manufacturing industries
Brand Ambassadorship,Homebuilding
Hydrography,Telecommunications Equipment
MPLS VPN,Other Consumer Services
Typesetting,Oilfield Services/Equipment
Object Pascal,Specialty Foods
XML Standards,Computer Software: Prepackaged Software
History,Real Estate
CFI,n/a
JCAPS,n/a
Global Business Development,Major Pharmaceuticals
Aerospace Manufacturing,Computer Software: Prepackaged Software
International Tax,Paper
RhinoCAM,n/a
Swedish,EDP Services
Simulink,Investment Bankers/Brokers/Service
VBScript,Industrial Machinery/Components
Dubbing,Clothing/Shoe/Accessory Stores
Environmental Issues,n/a
RDCS,n/a
NCQA,Real Estate Investment Trusts
ASP.NET MVC,Shoe Manufacturing
Vocal,Major Banks
Sustainable Agriculture,Oil & Gas Production
Airport Management,n/a
RFP Design,Savings Institutions
High Yield,n/a
Grassroots,Oil/Gas Transmission
Microsoft Word,"Computer Software: Programming, Data Processing"
CADS RC,Auto Parts:O.E.M.
JBoss Application Server,n/a
Quality Assurance,Advertising
Yard Work,n/a
Project Engineering,Major Chemicals
PTCRB,Industrial Specialties
Succession Planning,n/a
Ajax4JSF,n/a
OJEU,Investment Bankers/Brokers/Service
Mystery Shopping,Property-Casualty Insurers
Private Equity,Restaurants
Aviation Security,Oil & Gas Production
NBS Specification,Industrial Machinery/Components
Duty Drawback,Electric Utilities: Central
Lesson Planning,Real Estate Investment Trusts
XSD,Major Pharmaceuticals
Koi Ponds,Integrated oil Companies
Improvisation,n/a
Security Clearance,Real Estate Investment Trusts
DMRB,n/a
PBIS,n/a
VMware View,Catalog/Specialty Distribution
Talent Management,Fluid Controls
CSPO,Life Insurance
Yamaha Digital Consoles,Savings Institutions
WLST,Finance: Consumer Services
iPhone Support,Natural Gas Distribution
Scientific Writing,n/a
DC-10,n/a
Lines Of Credit,Major Pharmaceuticals
IATSE,Industrial Machinery/Components
Diabetes,n/a
Tunneling,n/a
Military Logistics,Investment Bankers/Brokers/Service
Amazon Kindle,Investment Bankers/Brokers/Service
Supplier Quality,Newspapers/Magazines
WC,n/a
Cisco VPN,Professional Services
Utility Regulation,Telecommunications Equipment
Hyperion Reports,Hotels/Resorts
White Collar Criminal Defense,Major Banks
Music,Railroads
SAP MM Module,n/a
GCCS,Major Banks
VOD,Paints/Coatings
Guitar,Oil & Gas Production
Academic Advising,Major Pharmaceuticals
Sketching,Biotechnology: Electromedical & Electrotherapeutic Apparatus
XML Schema Design,Savings Institutions
SSL Duality,Real Estate Investment Trusts
JTAPI,Real Estate Investment Trusts
TMF,Newspapers/Magazines
Westlaw,Oil & Gas Production
Lighting,n/a
OLTP,Medical Specialities
NCSS,Broadcasting
Globalization,Major Pharmaceuticals
xSeries,n/a
Oozie,n/a
Commercial Litigation,Computer Software: Prepackaged Software
TCA,n/a
UCCE,n/a
TPD,Real Estate Investment Trusts
Digital Signage,Marine Transportation
OS/390,Professional Services
Turbines,Industrial Machinery/Components
VST,Computer Communications Equipment
Solid Oxide Fuel Cells,n/a
Sustainable Design,Major Pharmaceuticals
X-ray,Semiconductors
OLED,Metal Fabrications
XPDL,Electric Utilities: Central
Sports Coaching,Oil & Gas Production
ISO 14001,Engineering & Construction
ILM,Hotels/Resorts
Github,n/a
CQ5,Clothing/Shoe/Accessory Stores
Hospitality,EDP Services
Nanofabrication,Electric Utilities: Central
Curating,Electric Utilities: Central
PPTP,Major Pharmaceuticals
BSCI,Hotels/Resorts
SQL Server Management Studio,n/a
Talent Acquisition,Finance/Investors Services
LCM,Oil & Gas Production
PFlow,Commercial Banks
Omeka,Metal Fabrications
MyEclipse,Telecommunications Equipment
XPlanner,n/a
Fly Tying,Savings Institutions
Process Automation,Clothing/Shoe/Accessory Stores
HP,Apparel
Wholesale Lending,Industrial Specialties
Air Force,Medical/Nursing Services
Blended Learning,Computer Manufacturing
CRM,Auto Parts:O.E.M.
Luciferase Assay,n/a
Web Design,n/a
NI Multisim,n/a
AMBA AHB,Major Pharmaceuticals
Event Management,n/a
VRRP,Semiconductors
ISO 14001,n/a
RTB,Auto Manufacturing
UB04,Property-Casualty Insurers
LGD,Air Freight/Delivery Services
Apparel,n/a
Commercial Photography,Biotechnology: Electromedical & Electrotherapeutic Apparatus
FX Swaps,Medical/Dental Instruments
Ektron Content Management System,Package Goods/Cosmetics
OLT,Telecommunications Equipment
Key Account Management,n/a
LN,Semiconductors
Machine Knitting,Packaged Foods
Creative Strategy,Major Pharmaceuticals
XML,Marine Transportation
DPM,Restaurants
CNC Mill,Natural Gas Distribution
Translation,Apparel
OEMs,n/a
SketchUp,Metal Fabrications
WHIMS,Real Estate Investment Trusts
Weddings,Apparel
Sports Management,Home Furnishings
LCR,n/a
TVCs,Electrical Products
Film,Major Pharmaceuticals
Escrow,Oil & Gas Production
User Scenarios,n/a
CDM Coordinator,Savings Institutions
IT Project &amp; Program Management,Metal Fabrications
RMAN,Investment Bankers/Brokers/Service
VGA,Major Banks
Kinesio Taping,n/a
Hazardous Waste Management,Catalog/Specialty Distribution
Urban,n/a
Hypnotherapy,Integrated oil Companies
EOD,Real Estate Investment Trusts
Natural Gas,EDP Services
EU Funding,n/a
NT 4.0,Oil & Gas Production
Global Mobility,Oil Refining/Marketing
Youth At Risk,Finance: Consumer Services
BBP,Major Banks
Fundraising,Oilfield Services/Equipment
PDF Creator,Retail: Computer Software & Peripheral Equipment
Theory,Electric Utilities: Central
Legislative Affairs,Major Banks
Psychological Assessment,Beverages (Production/Distribution)
Windows NT,n/a
Documentaries,Real Estate Investment Trusts
Whiplash,Paints/Coatings
Listings,Biotechnology: Biological Products (No Diagnostic Substances)
10 Key,Medical/Dental Instruments
Gourmet,Home Furnishings
BPWin,n/a
Employee Handbooks,Investment Bankers/Brokers/Service
Amadeus,Major Banks
Fortran,n/a
Target Costing,n/a
PDF Creator,n/a
Equity Trading,Electric Utilities: Central
Flex,Multi-Sector Companies
OSHA 30-Hour,Consumer: Greeting Cards
Sound,Oil & Gas Production
Olympic Lifting,n/a
XRY,Savings Institutions
ASP,Clothing/Shoe/Accessory Stores
FX Swaps,Medical/Dental Instruments
WDS,Electrical Products
Land Use,n/a
PMBOK,Major Pharmaceuticals
LyX,Major Banks
Oil Industry,n/a
MICROS,Electrical Products
Brain Gym,Major Chemicals
Cognitive Psychology,Restaurants
Oligonucleotides,Biotechnology: Laboratory Analytical Instruments
Mobile Devices,n/a
GFAS,n/a
HTML,Biotechnology: Electromedical & Electrotherapeutic Apparatus
Life Cycle Assessment,Multi-Sector Companies
HD Video,n/a
JCreator,Electric Utilities: Central
FHA,Investment Managers
MDOP,n/a
DNA electrophoresis,Major Banks
Live Events,Real Estate Investment Trusts
Employment Law,Major Banks
Shell Scripting,Computer Software: Prepackaged Software
iPhone Support,Forest Products
HRIS Database Management,n/a
SQL Server Management Studio,"Computer Software: Programming, Data Processing"
iPod,Business Services
Photoshop,Real Estate
CPP,Major Pharmaceuticals
RAN,Banks
Contractual Agreements,n/a
TCA,Savings Institutions
DBWorks,Commercial Banks
Kronos,n/a
WDF,Semiconductors
Security Clearance,Broadcasting
MDS,Clothing/Shoe/Accessory Stores
IFW,Major Banks
Feature Films,Biotechnology: Biological Products (No Diagnostic Substances)
Jimmy Jib,Clothing/Shoe/Accessory Stores
CCDP,Electronic Components
CPFR,Power Generation
NRP Instruction,Oilfield Services/Equipment
Music History,n/a
Cisco MDS SAN switches,Telecommunications Equipment
Job Coaching,n/a
Vulnerability Management,Major Chemicals
Interest Rate Swaps,Restaurants
BCA Protein Assay,Investment Bankers/Brokers/Service
CND,Beverages (Production/Distribution)
Roth IRA,Industrial Machinery/Components
Family Law,Real Estate Investment Trusts
CFR,Medical/Dental Instruments
Epistemology,Miscellaneous manufacturing industries
Clinical Research,n/a
Broadcast Journalism,Major Banks
NDIS,Textiles
MyChart,Semiconductors
Xactly Incent,Farming/Seeds/Milling
HTML,Major Banks
Claim,Investment Bankers/Brokers/Service
AAAHC,Major Banks
IT Infrastructure Management,Other Consumer Services
MDB,Major Pharmaceuticals
Brand Architecture,Property-Casualty Insurers
Time Series Analysis,Industrial Machinery/Components
WLL,n/a
FCC License,Apparel
Xbox One,Computer Software: Prepackaged Software
IOS Firewall,Major Banks
RF,Advertising
Tablet PC,Business Services
Axys,Real Estate Investment Trusts
ABAP,Apparel
Kettlebells,Electric Utilities: Central
Digital Illustration,Computer Software: Prepackaged Software
NTFS,n/a
FQHC,n/a
Fire Alarm,Oil Refining/Marketing
Aerial Photography,Natural Gas Distribution
DFP,Semiconductors
ODS,Specialty Chemicals
University Teaching,Computer Software: Prepackaged Software
Outdoors,Computer Software: Prepackaged Software
Naval Architecture,Military/Government/Technical
Curriculum Design,Metal Fabrications
Healthcare,Apparel
BFSI,Business Services
FTIR,Property-Casualty Insurers
Test Equipment,n/a
Jib,n/a
Security Audits,Semiconductors
Blogger,Major Banks
FMV,Specialty Insurers
Hands-on Training,EDP Services
Offshoring,Major Pharmaceuticals
DDE,Business Services
Production Planning,n/a
Unified Communications,Major Pharmaceuticals
Big Data,Real Estate Investment Trusts
Keyboardist,n/a
LCMS,Other Pharmaceuticals
Fund Administration,n/a
Turbomachinery,Major Banks
RPC,Hospital/Nursing Management
Negotiation,Beverages (Production/Distribution)
Osteoporosis,n/a
MXF,Services-Misc. Amusement & Recreation
Get Along Well with Others,n/a
FS-CD,n/a
Singing,Biotechnology: Electromedical & Electrotherapeutic Apparatus
Sqoop,Major Banks
Citrix,n/a
Cyber Defense,Business Services
Kurdish,Telecommunications Equipment
GPP,EDP Services
OTM,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
WDM,Industrial Machinery/Components
Nokia Qt,n/a
Owner Representation,n/a
XCAP,n/a
Generators,n/a
European Studies,Computer Software: Prepackaged Software
Xinet,Major Pharmaceuticals
RVM,Metal Fabrications
Road,Major Banks
Architectural Design,Major Pharmaceuticals
ODBC,Restaurants
Kettlebells,Finance/Investors Services
TSM,Semiconductors
Programming,Major Chemicals
Yin Yoga,Business Services
CPAP,Clothing/Shoe/Accessory Stores
MDS 3.0,EDP Services
FBO,n/a
Kohana,Banks
IBM Servers,Major Banks
Farms,Savings Institutions
AHP,Major Chemicals
Non-linear Editing,n/a
Marketing,Oil & Gas Production
NFS,Savings Institutions
Youth Development,Semiconductors
Flights,RETAIL: Building Materials
HDL Designer,Containers/Packaging
Ethernet,Real Estate Investment Trusts
Supervisory Skills,n/a
SGW,Medical/Dental Instruments
HR Information Management,Biotechnology: Biological Products (No Diagnostic Substances)
Marketing,n/a
NQA-1,Restaurants
MDX,Electric Utilities: Central
HTML5,n/a
Sketching,n/a
Creativity Skills,Telecommunications Equipment
XMetal,Hotels/Resorts
FWSM,Specialty Insurers
ADP ezLaborManager,Major Chemicals
Mixed-use,Industrial Machinery/Components
Application Architecture,Specialty Chemicals
Joint Ventures,n/a
DDTS,Hotels/Resorts
GNU tools,Industrial Machinery/Components
SDLC,Investment Bankers/Brokers/Service
TPP,EDP Services
DMVPN,n/a
Pyrolysis,Electric Utilities: Central
On Location,Auto Parts:O.E.M.
Myofascial Release,Major Pharmaceuticals
Oxides,Oil Refining/Marketing
Yellow Belt,RETAIL: Building Materials
SBRT,Packaged Foods
Equity Capital Markets,Business Services
SRTP,n/a
JProfiler,Auto Parts:O.E.M.
Contract Negotiation,n/a
MVNE,Business Services
IBM HTTP Server,Other Specialty Stores
Fund Accounting,n/a
PMIS,Advertising
NVivo,Real Estate Investment Trusts
Jiu-Jitsu,n/a
Direct Mail,Investment Bankers/Brokers/Service
Office Equipment,Other Consumer Services
Client Aquisition,Business Services
Axles,Computer Software: Prepackaged Software
Smart Metering,Pollution Control Equipment
WTP,Home Furnishings
Biomedical Engineering,Other Consumer Services
wxWidgets,Major Pharmaceuticals
Cross-border Transactions,n/a
Mobile TV,n/a
OMB Circular A-133,Real Estate Investment Trusts
Tour Management,n/a
Estate Planning,Auto Parts:O.E.M.
Hyper-V,n/a
VMware Certified Professional,Finance: Consumer Services
Rent to Own,n/a
Switchgear,Major Pharmaceuticals
Psychological Testing,n/a
Yahoo Search Marketing,Telecommunications Equipment
HNI,Savings Institutions
GMC PrintNet T,Real Estate Investment Trusts
Occupational Therapy,Biotechnology: Electromedical & Electrotherapeutic Apparatus
Zooarchaeology,RETAIL: Building Materials
Estimates,Savings Institutions
IV,n/a
Downstream Oil &amp; Gas,Major Chemicals
FMVSS,n/a
Protein Purification,Major Banks
CPAP,Major Banks
Evidence,n/a
Httpd,Telecommunications Equipment
Snooker,Major Pharmaceuticals
TBS,Major Banks
Military Justice,Electric Utilities: Central
Ecology,Natural Gas Distribution
MFS,Biotechnology: Biological Products (No Diagnostic Substances)
NLog,Packaged Foods
MP2,Auto Parts:O.E.M.
Httpd,Radio And Television Broadcasting And Communications Equipment
Occlusion,n/a
TyMetrix,n/a
Sage ERP X3,Clothing/Shoe/Accessory Stores
DVD Replication,Commercial Banks
Data Guard,Major Banks
Petroleum Engineering,n/a
HP Server Hardware,n/a
Software Project Management,Property-Casualty Insurers
Hygiene,n/a
Government Procurement,Marine Transportation
BSI Tax Factory,Precious Metals
Application Architecture,Biotechnology: Biological Products (No Diagnostic Substances)
Djbdns,n/a
Systems Design,n/a
Order Fulfillment,Business Services
CFR,Steel/Iron Ore
PMO Design,Major Banks
Information Architecture,Other Consumer Services
NVQs,Major Banks
Slope Stability Analysis,Business Services
Integration,Other Consumer Services
Pyramix,Telecommunications Equipment
IPO,Medical/Dental Instruments
Oxy-acetylene,Package Goods/Cosmetics
ASP.NET,Biotechnology: Biological Products (No Diagnostic Substances)
Employee Relations,Diversified Commercial Services
Equity Derivatives,n/a
Chemistry,Water Supply
US GAAP,Business Services
ASP,Rental/Leasing Companies
OEL,n/a
Key Opinion Leaders,Medical/Dental Instruments
EHR,n/a
Hypertension,Hotels/Resorts
Slide Shows,Real Estate Investment Trusts
DSM-IV,Major Pharmaceuticals
Stage Make-up,Wholesale Distributors
DVD Authoring,Computer Communications Equipment
FS-CD,n/a
Electricians,Electric Utilities: Central
IO,Transportation Services
Sony HDV,Major Banks
Workers Compensation,Finance/Investors Services
JBoss Application Server,Accident &Health Insurance
FPGA,Containers/Packaging
Vector NTI,Specialty Insurers
Kickboxing,n/a
Title Insurance,n/a
Quantitative Analytics,Food Distributors
Solaris Zones,n/a
MPLAB,n/a
SNF,Major Pharmaceuticals
CFML,Broadcasting
Cvent,Telecommunications Equipment
ERD,Electronic Components
Sound,Telecommunications Equipment
CD Mastering,n/a
MLB,n/a
Food,Major Pharmaceuticals
Nslookup,Major Pharmaceuticals
Mental Health Counseling,n/a
Public Affairs,Industrial Machinery/Components
RBD,Industrial Machinery/Components
High Availability,Metal Fabrications
NVQs,Other Consumer Services
EWP,Major Pharmaceuticals
NCIDQ,Diversified Commercial Services
IT Service Management,n/a
JCreator,Semiconductors
Brand Architecture,Major Banks
Videography,Investment Bankers/Brokers/Service
PMO Development,n/a
Team Effectiveness,Metal Fabrications
OEMs,Major Banks
DSLR,Telecommunications Equipment
IABP,n/a
Water,Electric Utilities: Central
Avid DS Nitris,Major Chemicals
MySQL,Major Pharmaceuticals
PMP,n/a
DSI,Electric Utilities: Central
DL1,Finance: Consumer Services
GPC,n/a
Purchasing,n/a
NBS Specification,Industrial Machinery/Components
Medical Education,Specialty Foods
Operating Systems,Industrial Machinery/Components
OECD,Major Banks
QINSy,Farming/Seeds/Milling
Top Secret,Property-Casualty Insurers
NGL,n/a
JMP,n/a
GMC PrintNet T,EDP Services
TPE,Other Consumer Services
Drums,Construction/Ag Equipment/Trucks
Clinical Nutrition,Package Goods/Cosmetics
RAN,n/a
HDPE,EDP Services
RFP Generation,Major Banks
EEO Reporting,Computer Software: Prepackaged Software
NDIS,Real Estate Investment Trusts
ABAP,Specialty Insurers
MCMS,Restaurants
Information Technology,Investment Managers
SD,Property-Casualty Insurers
IIA Standards,Major Banks
Leave of Absence,Major Banks
Piano,Major Banks
Food Safety,Electric Utilities: Central
HCS,Major Banks
Human Computer Interaction,n/a
Vector NTI,n/a
RPR,n/a
People-oriented,Industrial Machinery/Components
CCDA,Biotechnology: Biological Products (No Diagnostic Substances)
FMOD,Business Services
Satellite TV,Investment Bankers/Brokers/Service
ELISA,Life Insurance
MDRs,Telecommunications Equipment
PKCS#11,Business Services
For Sale By Owner,Major Banks
Cloud Computing,Other Consumer Services
Grassroots,Television Services
RF Troubleshooting,Major Pharmaceuticals
LSF,n/a
VMware,n/a
Iptables,Major Pharmaceuticals
Omgeo Oasys,Oil & Gas Production
Gmail,Major Banks
PL/SQL,n/a
Mining,Semiconductors
Electricians,Marine Transportation
Investment Banking,Property-Casualty Insurers
Mixed-Signal IC Design,Real Estate Investment Trusts
Kurzweil,Major Pharmaceuticals
FDT,n/a
Underwriting,Savings Institutions
DVB-C,Electrical Products
Assessment Center,Savings Institutions
SAP BPM,n/a
Cluster,n/a
Humanitarian Assistance,n/a
KPI Reports,Transportation Services
Jigs,Meat/Poultry/Fish
IEC 61850,Major Banks
Gx,Computer peripheral equipment
MTBF,Medical/Nursing Services
Online Journalism,EDP Services
Fashion Shows,Electronic Components
Architectural Illustration,Industrial Machinery/Components
Amazon S3,Industrial Machinery/Components
Cisco MDS SAN switches,"Computer Software: Programming, Data Processing"
QS1,n/a
MPages,Marine Transportation
Medical Illustration,Major Pharmaceuticals
SSRS,n/a
HTA,Industrial Machinery/Components
Lymphatic Drainage,Investment Managers
Electrical Troubleshooting,n/a
NHPA,Commercial Banks
Permanent Placement,n/a
VTC,n/a
Oasys,Television Services
Snooker,Major Pharmaceuticals
SAP EBP,n/a
Coaching,Major Banks
Koha,Telecommunications Equipment
Freelance Writing,EDP Services
Quantity Surveying,Automotive Aftermarket
Cross-functional Team Leadership,Major Pharmaceuticals
NHL,Industrial Specialties
iWork,n/a
SAP SRM,n/a
WTX,Telecommunications Equipment
BDCs,Business Services
Airworthiness,Business Services
Organizational Behavior,Oil Refining/Marketing
CGI,Major Pharmaceuticals
Legal Research,n/a
Dyeing,Semiconductors
CADS RC,Packaged Foods
Ventilation,Television Services
FFIEC,n/a
KT,Natural Gas Distribution
UAV,Publishing
DTDs,Restaurants
Market Research,Major Banks
PBUSE,Television Services
TMS320,Major Pharmaceuticals
PFMEA,Electric Utilities: Central
WebSphere MQ,Integrated oil Companies
HSR,n/a
Business Objects,Major Banks
Automobile,Oil & Gas Production
